Unique ID,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33d9bf8f7561645852496,Student/Looking/None,Yes,0-40k,Other (Please Specify):Retail,Python,1,3,2,2,4,1,Difficult,Better Salary,Male,23,United States,,Black or African American
62a33dbdd8c00e9f5419cd65,Student/Looking/None,No,41k-65k,Tech,R,7,8,8,6,8,3,Very Difficult,Better Salary,Female,26,Canada,,Asian or Asian American
62a33de124a26260273826b2,Data Analyst,No,0-40k,Other (Please Specify):Aviation,Python,1,1,1,1,2,0,Very Difficult,Better Salary,Male,28,Other (Please Specify):Nigeria,,Black or African American
62a33dedd8c00e9f5419ce2b,Data Analyst,Yes,41k-65k,Finance,Python,5,5,5,5,5,5,Easy,Remote Work,Male,29,Other (Please Specify):Kenya,,Black or African American
62a33dfbd8c00e9f5419ceda,Data Analyst,Yes,106k-125k,Tech,Other:Mostly use sql but that’s not programming language..,10,5,10,6,10,10,Neither easy nor difficult,Remote Work,Female,31,United States,,White or Caucasian
62a33e38f3072dd8926221d3,Data Analyst,Yes,0-40k,Healthcare,Python,5,6,8,8,7,1,Neither easy nor difficult,Remote Work,Male,28,Other (Please Specify):Azerbaijan,,White or Caucasian
62a33e54d8c00e9f5419cfe9,Data Analyst,No,0-40k,Finance,Python,4,4,4,4,4,4,Neither easy nor difficult,Better Salary,Male,32,Other (Please Specify):Argentina,,Hispanic or Latino
62a33e62575fa3a5ae88aabf,Data Analyst,No,0-40k,Tech,Python,7,8,8,8,3,8,Easy,Better Salary,Male,24,Other (Please Specify):Sudan,,Black or African American
62a33e63cec54911e9ca4f99,Data Analyst,No,0-40k,Tech,Python,4,6,6,6,7,7,Easy,Good Work/Life Balance,Male,31,India,,Asian or Asian American
62a33e72bae91e4b8b82ea1a,Data Analyst,No,66k-85k,Other (Please Specify):Insurance,Other:SQL,7,10,5,5,5,2,Difficult,Other (Please Specify):Responsibilities,Male,23,United States,,White or Caucasian
62a33e890f8c8599d5af13b9,Data Analyst,Yes,106k-125k,Other (Please Specify):Energy,Python,1,6,9,1,0,2,Difficult,Remote Work,Female,33,United States,,Asian or Asian American
62a33e8bf8d5efcc22f7c79a,Data Analyst,No,86k-105k,Healthcare,Other:Qlik sense script,6,7,7,7,7,4,Very Easy,Better Salary,Male,43,United States,,White or Caucasian
62a33e90cec54911e9ca5031,Student/Looking/None,Yes,0-40k,Other (Please Specify):Oil and gas,R,0,0,5,0,0,0,Very Difficult,Remote Work,Female,23,Other (Please Specify):Nigeria,,Other (Please Specify):African
62a33e9df8f756164585277b,Student/Looking/None,Yes,41k-65k,Finance,Python,10,7,10,10,5,3,Very Difficult,Good Work/Life Balance,Male,31,United States,,Black or African American
62a33eb6bc6861bf3176c5a3,Data Analyst,Yes,66k-85k,Finance,Python,5,6,7,5,4,4,Neither easy nor difficult,Other (Please Specify):Development,Male,31,United Kingdom,,White or Caucasian
62a33ee0bae91e4b8b82eaec,Data Analyst,Yes,0-40k,Other (Please Specify),Python,8,7,8,7,7,7,Difficult,Good Work/Life Balance,Male,25,India,,Asian or Asian American
62a33ee80f8c8599d5af14b7,Data Engineer,No,125k-150k,Tech,Other:SQL,8,10,10,9,9,9,Easy,Better Salary,Male,43,United States,,White or Caucasian
62a33efe0a77c1a77f65bf1e,Data Analyst,No,41k-65k,Finance,Python,2,3,5,5,5,5,Difficult,Better Salary,Female,26,Canada,,Other (Please Specify):South Asian
62a33f0ef408bae018ed3aeb,Other (Please Specify):FP&A Analyst,No,41k-65k,Other (Please Specify):Automotive,Python,5,10,8,8,8,7,Neither easy nor difficult,Remote Work,Male,32,Other (Please Specify):Japan,,White or Caucasian
62a33f17f8f7561645852867,Other (Please Specify):BI Developer ,No,0-40k,Tech,Python,2,9,7,7,5,6,Difficult,Better Salary,Male,31,Other (Please Specify):Greece,,White or Caucasian
62a33f52bc6861bf3176c72c,Data Analyst,Yes,86k-105k,Healthcare,Other:sql,3,5,6,4,4,5,Neither easy nor difficult,Better Salary,Male,29,United States,,White or Caucasian
62a33f56cf255543173005e9,Data Analyst,Yes,0-40k,Other (Please Specify):Automotive ,Python,3,1,3,2,3,1,Neither easy nor difficult,Good Culture,Male,24,Other (Please Specify):Perú ,,Hispanic or Latino
62a33f5a5d257a28a30d7bb5,Student/Looking/None,Yes,41k-65k,Construction,Python,2,0,2,2,0,0,Very Difficult,Remote Work,Male,34,United States,,White or Caucasian
62a33fa5cec54911e9ca51f1,Data Analyst,Yes,41k-65k,Other (Please Specify):Utili,Other:Power bi,5,6,6,5,4,6,Very Difficult,Better Salary,Male,42,Other (Please Specify):Australia,,Other (Please Specify):Indian
62a33fcb575fa3a5ae88ad59,Student/Looking/None,Yes,0-40k,Other (Please Specify):Not working yet,JavaScript,0,0,0,0,0,0,Difficult,Remote Work,Female,40,United States,,Asian or Asian American
62a33fcf18134ddc75ce91c3,Student/Looking/None,No,41k-65k,Telecommunication,Python,3,1,3,4,0,3,Easy,Good Work/Life Balance,Male,43,Other (Please Specify):Spain,,White or Caucasian
62a34006d8c00e9f5419d341,Student/Looking/None,Yes,0-40k,Construction,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,23,Other (Please Specify):Kenya ,,Other (Please Specify):Kenyan African 
62a34020575fa3a5ae88ade0,Student/Looking/None,Yes,0-40k,Education,Python,5,5,3,5,2,6,Difficult,Better Salary,Male,23,Other (Please Specify):Japan,,Asian or Asian American
62a34038b4da29969c62eafe,Data Analyst,Yes,86k-105k,Other (Please Specify):Manufa,Python,8,6,2,3,6,7,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,28,United States,,White or Caucasian
62a3406b575fa3a5ae88ae78,Data Analyst,No,66k-85k,Finance,Other:SQL,5,7,1,1,0,8,Neither easy nor difficult,Better Salary,Male,32,United States,,White or Caucasian
62a340cab4da29969c62ec01,Data Analyst,Yes,66k-85k,Other (Please Specify):Manufacturing (Chemicals),R,7,8,10,8,9,9,Difficult,Remote Work,Female,41,United States,,White or Caucasian
62a340d62e54c9003e5324b4,Data Analyst,Yes,41k-65k,Finance,Python,5,6,6,6,6,6,Neither easy nor difficult,Remote Work,Male,33,United Kingdom,High School,White or Caucasian
62a340e10a77c1a77f65c2e7,"Other (Please Specify):Manager, Business Intelligence Develop",Yes,150k-225k,Tech,Python,10,8,9,8,8,10,Easy,Good Work/Life Balance,Male,38,United States,,Hispanic or Latino
62a340f5bc6861bf3176caa4,Data Analyst,No,0-40k,Tech,Other:sql,8,8,8,8,5,10,Easy,Better Salary,Female,22,India,,Other (Please Specify):Indian
62a34117cec54911e9ca54e7,Student/Looking/None,Yes,0-40k,Other (Please Specify):Currently studying . Previously worked in Power Generation,R,1,3,6,6,6,9,Difficult,Remote Work,Male,36,Other (Please Specify):Barbados,Bachelors,Black or African American
62a3413a5d257a28a30d8074,Data Engineer,No,66k-85k,Finance,Python,2,1,1,1,3,7,Easy,Remote Work,Female,28,United States,Masters,Asian or Asian American
62a341a1f3072dd8926229a5,Student/Looking/None,Yes,0-40k,"Other (Please Specify):Not working at the moment, but previously I have been into Education industry","Other:If SQL is categorised as a programming language then I will definitely say SQL. Since I am still learning, I can't give a definite answer in relation to the abover mentioned but for the sake of choosing I will say R then followed by python",,,,,,7,Very Easy,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,30,Other (Please Specify):South Africa,,"Other (Please Specify):Black African, Zimbabwean Citizen"
62a341b0f8f7561645852d1d,Data Analyst,Yes,66k-85k,Tech,Python,6,6,6,6,5,6,Difficult,Other (Please Specify):Currently very happy with where I am.,Female,24,United States,Bachelors,Hispanic or Latino
62a341e8f8d5efcc22f7d002,Other (Please Specify):Business Analyst ,No,41k-65k,Other (Please Specify):Third Party Logistics ,C/C++,3,6,7,7,0,3,Very Difficult,Better Salary,Male,29,United States,Bachelors,White or Caucasian
62a34210cf25554317300c02,Data Analyst,No,0-40k,Tech,Python,4,9,10,9,9,10,Easy,Better Salary,Male,29,Other (Please Specify):Colombia,Associates,Hispanic or Latino
62a3424eb4da29969c62eedd,Other (Please Specify):Business Analyst,Yes,41k-65k,Other (Please Specify):Automotive,Python,6,8,8,7,9,7,Neither easy nor difficult,Good Work/Life Balance,Male,38,Other (Please Specify):Germany,Masters,White or Caucasian
62a34256bae91e4b8b82f16d,Data Analyst,Yes,0-40k,Finance,Other:I don’t know any,3,5,4,3,3,3,Difficult,Good Work/Life Balance,Male,31,Other (Please Specify):Bulgaria,Masters,White or Caucasian
62a3426cf408bae018ed409b,Student/Looking/None,No,0-40k,Tech,Python,1,4,5,5,1,1,Difficult,Better Salary,Male,25,United States,Masters,White or Caucasian
62a34272f8d5efcc22f7d15f,Data Analyst,No,66k-85k,Telecommunication,Python,4,6,4,5,4,4,Neither easy nor difficult,Better Salary,Male,24,United States,Masters,White or Caucasian
62a34340bc6861bf3176d05b,Other (Please Specify):Business Intelligence Consultant,Yes,41k-65k,Tech,Python,6,7,4,3,9,8,Difficult,Better Salary,Male,28,Other (Please Specify):Turkey,Bachelors,White or Caucasian
62a34383b4da29969c62f1be,Student/Looking/None,No,0-40k,Tech,Python,7,5,8,0,0,0,Neither easy nor difficult,Good Culture,Female,23,India,Bachelors,Asian or Asian American
62a34389cec54911e9ca5a22,Data Engineer,No,0-40k,Tech,R,2,3,2,5,5,7,Neither easy nor difficult,Remote Work,Male,21,Other (Please Specify):Spain,Masters,Hispanic or Latino
62a343a22e54c9003e532a2a,Data Analyst,No,0-40k,Other (Please Specify):Energy,Python,4,4,4,4,5,6,Neither easy nor difficult,Remote Work,Male,29,Other (Please Specify):France,Bachelors,Other (Please Specify):Human
62a343d9f3072dd892622fe4,Data Analyst,Yes,41k-65k,Tech,Python,5,6,7,7,7,6,Difficult,Better Salary,Male,25,United States,Bachelors,Asian or Asian American
62a34400d8c00e9f5419dc2b,Data Analyst,No,41k-65k,Tech,Python,6,6,6,6,3,5,Difficult,Good Culture,Male,27,Other (Please Specify):Germany,Masters,Black or African American
62a34425f8d5efcc22f7d525,Data Analyst,Yes,41k-65k,Tech,Python,3,9,10,8,9,9,Easy,Better Salary,Male,23,India,Bachelors,Asian or Asian American
62a34449575fa3a5ae88b637,Other (Please Specify):Sr. Supply Chain Analyst ,No,86k-105k,Other (Please Specify):Food & Beverage ,R,4,3,3,5,5,5,Difficult,Better Salary,Male,32,United States,Masters,Asian or Asian American
62a3445dcf255543173011e1,Student/Looking/None,Yes,106k-125k,Healthcare,Python,5,5,7,5,7,7,Neither easy nor difficult,Remote Work,Male,22,India,Bachelors,Asian or Asian American
62a3447a575fa3a5ae88b6c0,Data Analyst,No,0-40k,Tech,Python,2,9,9,8,6,2,Easy,Better Salary,Male,25,Other (Please Specify):Thailand,Bachelors,Asian or Asian American
62a3449f7dc029e2d66bf5d1,Data Analyst,Yes,0-40k,Telecommunication,Python,2,8,6,6,5,5,Neither easy nor difficult,Remote Work,Female,36,Other (Please Specify):Germany,Masters,White or Caucasian
62a344c5f408bae018ed4806,Data Analyst,Yes,106k-125k,Tech,Other:SQL,10,6,9,5,8,7,Easy,Good Work/Life Balance,Female,27,United States,Bachelors,White or Caucasian
62a344c6f8d5efcc22f7d6e1,Other (Please Specify):Business analyst ,Yes,0-40k,Tech,Python,5,5,5,5,5,1,Neither easy nor difficult,Other (Please Specify):My passion is to become a Data analyst ,Male,23,India,Bachelors,Asian or Asian American
62a344e1f3072dd892623328,Student/Looking/None,Yes,0-40k,Tech,Other:Sql,2,3,3,3,3,6,Very Difficult,Better Salary,Male,26,Other (Please Specify):Netherlands,Bachelors,Black or African American
62a3450424a262602738357f,Other (Please Specify):Director of Data Analytics,No,86k-105k,Healthcare,Python,9,10,10,10,10,10,Very Easy,Good Work/Life Balance,Female,33,United States,PhD,Hispanic or Latino
62a3452818134ddc75ce9e1b,Data Analyst,Yes,106k-125k,Other (Please Specify):Automotive,Python,3,5,3,3,5,5,Easy,Better Salary,Male,27,Other (Please Specify):Turkey,Masters,White or Caucasian
62a345490a77c1a77f65cc5b,Data Analyst,Yes,41k-65k,Education,R,3,6,5,4,3,4,Neither easy nor difficult,Better Salary,Male,42,United States,Associates,White or Caucasian
62a3455bbc6861bf3176d57a,Data Analyst,Yes,0-40k,Tech,Python,6,7,8,7,7,8,Easy,Good Work/Life Balance,Male,29,Other (Please Specify):Spain,Masters,White or Caucasian
62a3457bf8d5efcc22f7da17,Data Analyst,No,125k-150k,Tech,Python,4,7,6,4,2,4,Easy,Better Salary,Female,27,United States,Masters,Asian or Asian American
62a345b2bae91e4b8b82fad6,Student/Looking/None,No,41k-65k,Healthcare,Python,0,10,10,10,4,2,Neither easy nor difficult,Remote Work,Female,39,United States,Bachelors,Hispanic or Latino
62a345c47dc029e2d66bf80a,Data Analyst,Yes,41k-65k,Telecommunication,Python,6,6,7,5,6,7,Difficult,Good Culture,Male,31,Other (Please Specify):Denmark,Masters,White or Caucasian
62a345e25d257a28a30d8b43,Data Analyst,Yes,66k-85k,Other (Please Specify):Marketing,Python,7,7,5,9,7,8,Easy,Good Work/Life Balance,Male,29,Other (Please Specify):Brazil,Bachelors,Hispanic or Latino
62a34646f8d5efcc22f7dc5c,Data Analyst,Yes,66k-85k,Education,R,7,7,7,7,4,7,Easy,Remote Work,Male,31,United States,Masters,White or Caucasian
62a34687f408bae018ed4c52,Data Analyst,Yes,0-40k,Finance,Python,10,9,9,10,9,10,Neither easy nor difficult,Good Culture,Male,30,Other (Please Specify):Mexico,Masters,Hispanic or Latino
62a346a37dc029e2d66bfa6d,Data Engineer,Yes,0-40k,Tech,Python,7,8,6,5,5,9,Difficult,Better Salary,Male,33,Other (Please Specify):Mexico,Masters,Hispanic or Latino
62a346a95d257a28a30d8cb9,Data Analyst,No,66k-85k,Other (Please Specify):Retail,Python,7,8,9,7,7,7,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
62a346b4bc6861bf3176d7ce,Student/Looking/None,No,0-40k,Tech,R,0,0,0,0,0,0,Neither easy nor difficult,Good Work/Life Balance,Male,23,India,Bachelors,Other (Please Specify):Indian
62a346cef8f756164585385b,Data Analyst,Yes,41k-65k,Other (Please Specify):Advertising,Other:Dont require,4,4,3,3,5,6,Very Difficult,Better Salary,Male,33,United States,Bachelors,Asian or Asian American
62a346d724a2626027383abd,Other (Please Specify):Business Analyst,Yes,66k-85k,Other (Please Specify):Logistics,Python,7,9,9,8,8,9,Neither easy nor difficult,Good Work/Life Balance,Male,35,Other (Please Specify):Chile,Bachelors,Hispanic or Latino
62a346d90a77c1a77f65d08d,Data Analyst,No,41k-65k,Other (Please Specify):Staffing and Recruting ,Python,6,8,5,,6,9,Neither easy nor difficult,Remote Work,Female,42,Other (Please Specify):Greece,Masters,White or Caucasian
62a34726f8d5efcc22f7dec7,Data Analyst,No,66k-85k,Tech,Python,3,4,2,1,0,4,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
62a3476c5d257a28a30d8e6d,Data Analyst,No,86k-105k,Other (Please Specify):Automotive,Python,5,4,5,4,3,6,Neither easy nor difficult,"Other (Please Specify):Different job title, either product owner or consulting",Male,23,United States,Bachelors,White or Caucasian
62a347b4f8f7561645853a98,Other (Please Specify):Learning Management Specialist,No,41k-65k,Healthcare,JavaScript,2,4,6,5,3,4,Easy,Better Salary,Female,51,United States,Bachelors,Black or African American
62a347f6b4da29969c62fb79,Data Analyst,No,0-40k,Telecommunication,Other,1,4,4,3,2,6,Very Difficult,Better Salary,Male,30,United Kingdom,Bachelors,Black or African American
62a3483018134ddc75cea4e6,Data Analyst,Yes,41k-65k,Finance,Python,8,9,9,9,9,8,Very Difficult,Better Salary,Male,23,India,Bachelors,Asian or Asian American
62a348650f8c8599d5af2b77,Other (Please Specify):Research Analyst,Yes,41k-65k,Other (Please Specify):Advertising,R,3,5,5,6,3,4,Neither easy nor difficult,Better Salary,Male,24,Canada,Bachelors,Asian or Asian American
62a3489318134ddc75cea659,Student/Looking/None,Yes,41k-65k,Tech,Python,6,6,6,6,6,6,Easy,Good Culture,Male,25,Other (Please Specify):Australia,Masters,Asian or Asian American
62a348bf2e54c9003e533634,Data Analyst,Yes,41k-65k,Finance,Python,4,4,6,4,5,6,Difficult,Better Salary,Female,55,United States,Masters,Other (Please Specify):Race isn't a thing
62a348c2f3072dd892623c10,Data Analyst,No,86k-105k,Other (Please Specify):Biotech,R,8,10,8,7,8,10,Very Easy,Remote Work,Female,30,United States,Masters,White or Caucasian
62a348f2f8d5efcc22f7e2ba,Data Analyst,Yes,41k-65k,Other (Please Specify):Consulting,Python,9,9,9,9,7,4,Difficult,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
62a349160a77c1a77f65d4db,Data Analyst,Yes,66k-85k,Other (Please Specify):Consumer Elec,Python,6,9,7,6,7,7,Neither easy nor difficult,Better Salary,Male,28,United States,Masters,White or Caucasian
62a3493fb4da29969c62fe63,Other (Please Specify):Insights analyst,Yes,41k-65k,Other (Please Specify):Consulting,Python,8,8,9,9,10,10,Very Easy,Better Salary,Male,34,United Kingdom,Bachelors,White or Caucasian
62a3496e575fa3a5ae88c4e6,Data Analyst,Yes,0-40k,Tech,Python,8,10,9,9,10,8,Neither easy nor difficult,Better Salary,Female,28,Other (Please Specify):Costa Rica,Bachelors,Hispanic or Latino
62a3498e575fa3a5ae88c554,Student/Looking/None,No,0-40k,Other (Please Specify):Semiconductor manufacturing,Other,7,9,7,8,8,10,Neither easy nor difficult,Better Salary,Male,24,Other (Please Specify):Vietnam,Bachelors,Asian or Asian American
62a34991b4da29969c62ff4b,Student/Looking/None,Yes,0-40k,Healthcare,Python,3,7,7,7,1,2,Difficult,Better Salary,Male,31,United States,Masters,Black or African American
62a349bbf8f756164585400d,Data Analyst,Yes,41k-65k,"Other (Please Specify):Supply Chain - warehousing, transpiration and ",Other:Knowledge of Excel and SQL yet,3,6,6,6,4,4,Easy,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
62a349c7cec54911e9ca67c7,Data Analyst,Yes,106k-125k,Finance,Python,5,1,4,3,3,4,Easy,Better Salary,Female,38,United States,Bachelors,White or Caucasian
62a349d5d8c00e9f5419ead2,Data Analyst,No,41k-65k,Finance,Python,5,5,5,5,4,5,Neither easy nor difficult,Good Culture,Male,30,Other (Please Specify):Netherlands,Bachelors,Hispanic or Latino
62a349e6b4da29969c63000c,Data Analyst,Yes,0-40k,Tech,C/C++,0,0,0,2,2,5,Neither easy nor difficult,Good Work/Life Balance,Male,25,India,Bachelors,Asian or Asian American
62a34a03cec54911e9ca6869,Data Analyst,Yes,0-40k,Tech,Python,1,2,1,5,6,6,Neither easy nor difficult,Better Salary,Female,29,Other (Please Specify):Nigeria ,Bachelors,Black or African American
62a34ab15d257a28a30d9589,Data Scientist,Yes,150k-225k,Finance,Python,7,5,3,6,4,4,Difficult,Good Work/Life Balance,Male,21,Other (Please Specify):Portugal,Masters,White or Caucasian
62a34abc0f8c8599d5af31c5,Data Analyst,Yes,66k-85k,Other (Please Specify):Distribution,Other:SQL,5,8,8,7,6,7,Very Easy,Remote Work,Female,39,United States,Bachelors,Asian or Asian American
62a34b07cec54911e9ca6b6e,Student/Looking/None,No,0-40k,Other (Please Specify),Python,0,0,0,0,0,5,Neither easy nor difficult,Better Salary,Male,25,Other (Please Specify):turkey,Bachelors,White or Caucasian
62a34b0eb4da29969c6302ce,Other (Please Specify):Does a social media analyst count?,Yes,86k-105k,Finance,Other:I don't use programming in my role,7,9,10,6,4,4,Neither easy nor difficult,Other (Please Specify):Opportunity for advancement ,Female,42,United States,Masters,Hispanic or Latino
62a34b1b0f8c8599d5af328b,Data Analyst,No,41k-65k,Tech,R,10,8,9,10,10,10,Easy,Better Salary,Male,25,United States,Bachelors,White or Caucasian
62a34b5b5d257a28a30d96a6,Data Scientist,No,86k-105k,Finance,Python,8,7,6,6,5,9,Neither easy nor difficult,Better Salary,Male,22,United States,Bachelors,White or Caucasian
62a34b7ebae91e4b8b83076c,Data Analyst,No,0-40k,Other (Please Specify):Customer Service,Python,1,4,4,3,,5,Easy,Better Salary,Male,23,Other (Please Specify):Colombia,High School,Hispanic or Latino
62a34b99cec54911e9ca6e14,Data Engineer,Yes,41k-65k,Other (Please Specify):Ecom,JavaScript,6,6,6,6,6,6,Difficult,Good Culture,Male,25,Other (Please Specify):Egypt,High School,Other (Please Specify):Middleeas
62a34bb0f3072dd892624210,Data Engineer,Yes,66k-85k,Other (Please Specify):Consulti,Python,5,7,7,6,6,7,Neither easy nor difficult,Better Salary,Male,45,Canada,Masters,White or Caucasian
62a34bd0cf2555431730208b,Data Analyst,Yes,66k-85k,Healthcare,Other:Excel/SQL,7,3,8,6,8,8,Easy,Good Work/Life Balance,Male,24,United States,Bachelors,White or Caucasian
62a34bd4f408bae018ed57bd,Student/Looking/None,No,0-40k,Other (Please Specify):State Government,R,1,9,6,0,0,0,Difficult,Better Salary,Male,25,United States,,Black or African American
62a34c66b4da29969c6305af,Data Analyst,Yes,66k-85k,Other (Please Specify):Marketing,Python,9,8,9,9,8,8,Difficult,Good Work/Life Balance,Male,26,United States,Bachelors,White or Caucasian
62a34d1ff8f756164585465c,Data Analyst,No,41k-65k,Tech,R,4,7,8,8,5,7,Easy,Better Salary,Male,23,Canada,Bachelors,Asian or Asian American
62a34d4118134ddc75ceb0ed,Student/Looking/None,Yes,0-40k,Other (Please Specify):Culture,Python,1,1,1,0,0,3,Difficult,Remote Work,Female,42,United Kingdom,Masters,White or Caucasian
62a34da0f408bae018ed5abd,Other (Please Specify):Educator,Yes,41k-65k,Education,Other:unknown,0,0,2,0,0,0,Very Difficult,Good Work/Life Balance,Female,42,United States,Bachelors,Black or African American
62a34dbb5d257a28a30d9a61,Other (Please Specify):Business Analyst,No,0-40k,Tech,Python,0,6,5,5,3,1,Neither easy nor difficult,Better Salary,Male,25,India,Masters,Asian or Asian American
62a34e00f8f7561645854954,Data Analyst,Yes,86k-105k,Tech,R,8,10,10,10,2,7,Easy,Remote Work,Male,38,United States,Masters,White or Caucasian
62a34e082e54c9003e534118,Other (Please Specify):Business Intelligence Engineer,No,0-40k,Tech,Python,5,6,6,6,6,4,Easy,Better Salary,Male,24,Other (Please Specify):Costa Rica,Bachelors,Hispanic or Latino
62a34eb7bc6861bf3176e6d8,Data Analyst,Yes,66k-85k,Education,R,7,10,10,10,8,10,Neither easy nor difficult,Good Work/Life Balance,Male,28,United States,Bachelors,White or Caucasian
62a34f2af8f7561645854c1c,Data Analyst,No,41k-65k,Healthcare,Python,1,2,8,7,0,0,Difficult,Better Salary,Male,21,United States,Bachelors,Asian or Asian American
62a34f3bf408bae018ed5e42,Data Analyst,Yes,106k-125k,Healthcare,R,10,10,10,10,10,10,Very Easy,Good Culture,Male,39,United States,Masters,White or Caucasian
62a34fa418134ddc75ceb509,Data Analyst,Yes,0-40k,Tech,Python,4,5,5,5,6,8,Difficult,Good Work/Life Balance,Male,23,Other (Please Specify):Pakistan,Bachelors,Asian or Asian American
62a34fbacec54911e9ca776f,Data Analyst,No,0-40k,Other (Please Specify):Government,R,1,6,4,3,5,6,Neither easy nor difficult,Good Work/Life Balance,Female,23,Other (Please Specify):Australia,Bachelors,White or Caucasian
